Tiempo(s),Amplitud,C0,C1,C2,C3,C4,C5,Clase
90.1083,2745,1114621,1540164,70970,-281920,-419993,266181,0
90.8056,2731,973285,1558721,215227,-240905,-456006,133043,0
91.5306,2603,966141,1402157,123798,-145947,-342832,231918,0
92.2083,2682,1021934,1511976,198055,-255125,-415118,179307,0
92.9389,2718,1644814,-327466,-772702,508842,-19915,-272361,0
93.7417,2694,863127,1559906,388032,-116076,-513179,63338,0
94.5167,2675,891478,1485920,282519,-130549,-372942,198527,0
95.2917,2430,1621820,-262375,-845779,565491,-26712,-182842,0
96.0917,2825,1038841,1566627,142856,-268728,-451229,215628,0
96.8500,2789,871838,1535573,386612,-81827,-454369,134613,0
97.6222,2765,1112626,1488385,44464,-345879,-421571,255934,0
98.4056,2676,962665,1546458,231843,-213426,-441509,174779,0
99.1222,2656,820650,1494809,370532,-41210,-375940,193721,0
99.8417,2706,894403,1630645,387622,-175699,-433164,45536,0
100.5528,2662,942884,1548704,260689,-153611,-471126,149928,0
101.2167,2705,963911,1584381,283784,-101049,-394106,230612,0
101.8917,2781,983615,1696077,370260,-187727,-518806,64025,0
102.6111,2715,1080457,1538832,35596,-351100,-450807,236148,0
103.3194,2620,816413,1496799,337139,-10503,-368756,217433,0
