Tiempo(s),Amplitud,C0,C1,C2,C3,C4,C5,Clase
63.9139,3188,2145731,-1654106,-1536981,1004281,-47937,-118669,0
64.3528,3121,2038895,-1636528,-1504920,1159693,-113482,-107697,0
64.8056,3129,2119505,-1867576,-1402227,1209366,-215966,-204550,0
65.2889,2968,2156050,-2025880,-1323251,1162453,-293724,-206218,0
65.8167,3259,2392712,-1557195,-1704001,1004969,3091,67234,0
66.4083,3216,2040777,-1873373,-1321190,828949,-60628,-269413,0
66.9667,3242,2333824,-2089421,-1355854,874205,-167207,-134796,0
67.5139,3272,2323874,-1888587,-1588896,890248,-82212,-183522,0
68.0556,3201,2598869,-1788429,-1732266,902253,-19810,-103420,0
68.6028,3109,2488529,-1627250,-1834121,633975,91349,-131557,0
